game_number	player_bankrupt	turn
513	Charly	65
513	Bob	73
513	Hero	82
515	Hero	30
515	Charly	44
515	Bob	46
516	Hero	49
516	Alice	49
516	Charly	53
520	Alice	42
520	Bob	57
520	Hero	69
521	Charly	30
521	Alice	32
521	Bob	42
524	Hero	35
524	Charly	58
524	Alice	81
525	Bob	19
525	Alice	29
525	Hero	30
522	Bob	48
522	Charly	55
522	Hero	80
528	Hero	57
528	Charly	65
528	Alice	65
527	Alice	47
527	Bob	66
527	Hero	114
529	Charly	26
529	Hero	28
529	Alice	41
530	Hero	34
530	Bob	54
532	Bob	57
532	Alice	62
532	Charly	67
533	Alice	36
533	Bob	41
533	Charly	60
534	Charly	37
534	Alice	53
534	Hero	77
535	Hero	33
535	Charly	33
535	Alice	74
536	Alice	46
536	Hero	48
536	Charly	72
538	Charly	43
538	Bob	46
538	Hero	47
541	Hero	47
541	Bob	52
541	Charly	58
542	Charly	222
544	Charly	41
544	Alice	73
544	Hero	75
549	Charly	33
549	Hero	35
549	Bob	39
548	Alice	43
548	Bob	72
548	Hero	82
550	Hero	35
550	Bob	41
550	Charly	48
551	Bob	45
551	Hero	52
551	Charly	55
552	Charly	50
552	Hero	57
552	Bob	58
554	Hero	41
554	Alice	50
554	Charly	50
553	Alice	77
553	Bob	86
553	Hero	91
557	Alice	29
557	Bob	49
557	Hero	60
559	Bob	78
559	Charly	80
559	Hero	82
562	Hero	26
562	Charly	27
562	Bob	39
561	Hero	32
561	Charly	44
561	Alice	66
560	Alice	91
560	Hero	100
560	Bob	100
563	Hero	33
563	Alice	34
563	Bob	46
565	Charly	37
565	Bob	39
565	Alice	54
566	Hero	36
566	Charly	36
566	Alice	46
567	Charly	13
567	Bob	16
567	Alice	22
568	Bob	29
568	Charly	42
568	Alice	69
570	Charly	48
570	Alice	52
570	Hero	75
571	Alice	43
571	Charly	51
571	Hero	76
573	Alice	72
573	Hero	103
573	Bob	143
575	Bob	21
575	Charly	22
575	Alice	28
574	Hero	32
574	Bob	47
574	Alice	56
576	Hero	31
576	Alice	35
576	Bob	48
577	Hero	49
577	Alice	53
577	Charly	53
581	Charly	26
581	Bob	37
581	Hero	48
580	Hero	52
580	Charly	61
580	Bob	71
579	Alice	63
579	Hero	96
579	Charly	99
582	Charly	36
582	Alice	39
582	Bob	41
584	Alice	25
584	Charly	36
584	Hero	58
585	Bob	74
585	Charly	81
585	Alice	88
586	Charly	66
586	Bob	68
586	Hero	103
589	Charly	40
589	Hero	47
589	Alice	51
588	Bob	41
588	Alice	43
588	Hero	60
590	Charly	59
590	Alice	61
590	Bob	62
591	Charly	23
591	Alice	26
591	Hero	30
594	Charly	31
594	Alice	37
594	Hero	48
595	Charly	35
595	Alice	37
595	Bob	41
596	Hero	31
596	Charly	53
596	Alice	57
598	Alice	41
598	Charly	44
598	Hero	58
599	Hero	35
599	Alice	36
599	Bob	39
600	Alice	37
600	Bob	38
600	Hero	51
601	Alice	27
601	Charly	36
601	Hero	44
605	Hero	29
605	Alice	34
605	Charly	39
609	Hero	25
609	Charly	26
609	Bob	29
608	Bob	32
608	Charly	39
608	Hero	47
607	Charly	35
607	Bob	60
607	Hero	85
611	Bob	35
611	Hero	38
611	Alice	42
613	Bob	18
613	Charly	40
613	Hero	63
612	Charly	43
612	Bob	54
612	Hero	59
614	Bob	42
614	Charly	51
614	Alice	51
615	Bob	32
615	Hero	35
615	Charly	40
616	Charly	32
616	Alice	34
616	Hero	39
618	Charly	36
618	Hero	43
618	Alice	51
620	Alice	71
620	Hero	113
620	Charly	118
622	Hero	30
622	Charly	50
622	Bob	65
623	Hero	25
623	Bob	30
